postal_code,municipality,num_municipalities,total_addresses,location_type,location_confidence,validity_status,is_actual_location,error,scraped_successfully
34801,VIRRAT,1,48.0,POST_BOX,0.0,VALID_WITH_ADDRESSES,False,,True
35301,ORIVESI,1,36.0,POST_BOX,0.0,VALID_WITH_ADDRESSES,False,,True
35801,MÄNTTÄ,1,50.0,POST_BOX,0.0,VALID_WITH_ADDRESSES,False,,True
39195,KAIPIO,1,86.0,SMALL_SETTLEMENT,0.8,VALID_WITH_ADDRESSES,True,,True
39965,KARVIANKYLÄ,1,144.0,ACTUAL_LOCATION,0.95,VALID_WITH_ADDRESSES,True,,True
40003,,0,,NONEXISTENT,0.0,NONEXISTENT,False,Postal code does not exist in Posti database,False
40101,JYVÄSKYLÄ,1,724.0,POST_BOX,0.0,VALID_WITH_ADDRESSES,False,,True
41325,LAUKKAVIRTA,1,320.0,ACTUAL_LOCATION,0.95,VALID_WITH_ADDRESSES,True,,True
41661,TOIVAKKA,1,2.0,POST_BOX,0.0,VALID_WITH_ADDRESSES,False,,True
41925,YLÄ-KINTAUS,1,160.0,ACTUAL_LOCATION,0.95,VALID_WITH_ADDRESSES,True,,True
42701,KEURUU,1,222.0,POST_BOX,0.0,VALID_WITH_ADDRESSES,False,,True
43501,KARSTULA,1,32.0,POST_BOX,0.0,VALID_WITH_ADDRESSES,False,,True
44101,ÄÄNEKOSKI,1,152.0,POST_BOX,0.0,VALID_WITH_ADDRESSES,False,,True
45007,,0,,NONEXISTENT,0.0,NONEXISTENT,False,Postal code does not exist in Posti database,False
45101,KOUVOLA,1,548.0,POST_BOX,0.0,VALID_WITH_ADDRESSES,False,,True
45151,,0,,NONEXISTENT,0.0,NONEXISTENT,False,Postal code does not exist in Posti database,False
45701,KUUSANKOSKI,1,198.0,POST_BOX,0.0,VALID_WITH_ADDRESSES,False,,True
48007,,0,,NONEXISTENT,0.0,NONEXISTENT,False,Postal code does not exist in Posti database,False
52201,PUUMALA,1,12.0,POST_BOX,0.0,VALID_WITH_ADDRESSES,False,,True
52301,RISTIINA,1,26.0,POST_BOX,0.0,VALID_WITH_ADDRESSES,False,,True
52551,HIRVENSALMI,1,62.0,POST_BOX,0.0,VALID_WITH_ADDRESSES,False,,True
52701,MÄNTYHARJU,1,206.0,POST_BOX,0.0,VALID_WITH_ADDRESSES,False,,True
54915,SAIMAANHARJU,1,625.0,ACTUAL_LOCATION,0.95,VALID_WITH_ADDRESSES,True,,True
57007,,0,,NONEXISTENT,0.0,NONEXISTENT,False,Postal code does not exist in Posti database,False
58175,ENONKOSKI,1,710.0,ACTUAL_LOCATION,0.95,VALID_WITH_ADDRESSES,True,,True
58701,SULKAVA,1,86.0,POST_BOX,0.0,VALID_WITH_ADDRESSES,False,,True
62165,TIISTENJOKI,1,243.0,ACTUAL_LOCATION,0.95,VALID_WITH_ADDRESSES,True,,True
62175,YLIKYLÄ,1,122.0,ACTUAL_LOCATION,0.95,VALID_WITH_ADDRESSES,True,,True
62185,MÄKI-PAAVOLA,1,133.0,ACTUAL_LOCATION,0.95,VALID_WITH_ADDRESSES,True,,True
62295,KAUHAJÄRVI,1,307.0,ACTUAL_LOCATION,0.95,VALID_WITH_ADDRESSES,True,,True
62375,YLIHÄRMÄ,1,1301.0,ACTUAL_LOCATION,0.95,VALID_WITH_ADDRESSES,True,,True
62395,"PETTERINMÄKI, PETTERSBACKA",2,182.0,ACTUAL_LOCATION,0.95,VALID_WITH_ADDRESSES,True,,True
62435,PIRTTINEN,1,84.0,SMALL_SETTLEMENT,0.8,VALID_WITH_ADDRESSES,True,,True
63355,SEINÄJÄRVI,1,110.0,ACTUAL_LOCATION,0.95,VALID_WITH_ADDRESSES,True,,True
64101,KRISTINESTAD,1,200.0,POST_BOX,0.0,VALID_WITH_ADDRESSES,False,,True
64701,TEUVA,1,116.0,POST_BOX,0.0,VALID_WITH_ADDRESSES,False,,True
64999,,0,,NONEXISTENT,0.0,NONEXISTENT,False,Postal code does not exist in Posti database,False
65101,VASA,1,666.0,POST_BOX,0.0,VALID_WITH_ADDRESSES,False,,True
66101,,0,,NONEXISTENT,0.0,NONEXISTENT,False,Postal code does not exist in Posti database,False
66201,KORSNÄS,1,16.0,POST_BOX,0.0,VALID_WITH_ADDRESSES,False,,True
66295,TÖJBY,1,295.0,ACTUAL_LOCATION,0.95,VALID_WITH_ADDRESSES,True,,True
66401,LAIHIA,1,58.0,POST_BOX,0.0,VALID_WITH_ADDRESSES,False,,True
66901,NYKARLEBY,1,86.0,POST_BOX,0.0,VALID_WITH_ADDRESSES,False,,True
66999,,0,,NONEXISTENT,0.0,NONEXISTENT,False,Postal code does not exist in Posti database,False
68555,BOSUND,1,810.0,ACTUAL_LOCATION,0.95,VALID_WITH_ADDRESSES,True,,True
68601,JAKOBSTAD,1,266.0,POST_BOX,0.0,VALID_WITH_ADDRESSES,False,,True
68999,,0,,NONEXISTENT,0.0,NONEXISTENT,False,Postal code does not exist in Posti database,False
70007,,0,,NONEXISTENT,0.0,NONEXISTENT,False,Postal code does not exist in Posti database,False
70101,KUOPIO,1,628.0,POST_BOX,0.0,VALID_WITH_ADDRESSES,False,,True
70111,KUOPIO,1,66.0,POST_BOX,0.0,VALID_WITH_ADDRESSES,False,,True
71745,HAATALA,1,76.0,SMALL_SETTLEMENT,0.8,VALID_WITH_ADDRESSES,True,,True
71775,TUOVILANLAHTI,1,286.0,ACTUAL_LOCATION,0.95,VALID_WITH_ADDRESSES,True,,True
72401,PIELAVESI,1,72.0,POST_BOX,0.0,VALID_WITH_ADDRESSES,False,,True
73301,NILSIÄ,1,20.0,POST_BOX,0.0,VALID_WITH_ADDRESSES,False,,True
74595,RUNNI,1,559.0,ACTUAL_LOCATION,0.95,VALID_WITH_ADDRESSES,True,,True
77999,,0,,NONEXISTENT,0.0,NONEXISTENT,False,Postal code does not exist in Posti database,False
79101,LEPPÄVIRTA,1,76.0,POST_BOX,0.0,VALID_WITH_ADDRESSES,False,,True
79255,KURJALA,1,180.0,ACTUAL_LOCATION,0.95,VALID_WITH_ADDRESSES,True,,True
79265,PUPONMÄKI,1,113.0,ACTUAL_LOCATION,0.95,VALID_WITH_ADDRESSES,True,,True
79885,ETELÄ-PETRUMA,1,131.0,ACTUAL_LOCATION,0.95,VALID_WITH_ADDRESSES,True,,True
79895,SARVIKUMPU,1,161.0,ACTUAL_LOCATION,0.95,VALID_WITH_ADDRESSES,True,,True
81235,LEHTOI,1,255.0,ACTUAL_LOCATION,0.95,VALID_WITH_ADDRESSES,True,,True
81295,HAAPALAHTI,1,244.0,ACTUAL_LOCATION,0.95,VALID_WITH_ADDRESSES,True,,True
81701,LIEKSA,1,48.0,POST_BOX,0.0,VALID_WITH_ADDRESSES,False,,True
82335,RASIVAARA,1,758.0,ACTUAL_LOCATION,0.95,VALID_WITH_ADDRESSES,True,,True
82501,KITEE,1,152.0,POST_BOX,0.0,VALID_WITH_ADDRESSES,False,,True
82655,VÄRTSILÄ,1,316.0,ACTUAL_LOCATION,0.95,VALID_WITH_ADDRESSES,True,,True
82675,NIIRALA,1,106.0,ACTUAL_LOCATION,0.95,VALID_WITH_ADDRESSES,True,,True
