postal_code,municipality,num_municipalities,total_addresses,location_type,location_confidence,validity_status,is_actual_location,error,scraped_successfully
95645,,0,257,SETTLEMENT,0.95,VALID_SETTLEMENT,True,,True
95675,,0,171,SETTLEMENT,0.95,VALID_SETTLEMENT,True,,True
95999,,0,0,NO_DATA,0.0,NO_DATA,False,Postal code returned no address data,False
96007,,0,0,NO_DATA,0.0,NO_DATA,False,Postal code returned no address data,False
97335,,0,65,SETTLEMENT,0.8,VALID_SETTLEMENT,True,,True
97615,,0,50,SETTLEMENT,0.8,VALID_SETTLEMENT,True,,True
97625,,0,363,SETTLEMENT,0.95,VALID_SETTLEMENT,True,,True
97635,,0,110,SETTLEMENT,0.95,VALID_SETTLEMENT,True,,True
97645,,0,144,SETTLEMENT,0.95,VALID_SETTLEMENT,True,,True
97655,,0,160,SETTLEMENT,0.95,VALID_SETTLEMENT,True,,True
97665,,0,190,SETTLEMENT,0.95,VALID_SETTLEMENT,True,,True
97675,,0,171,SETTLEMENT,0.95,VALID_SETTLEMENT,True,,True
97685,,0,93,SETTLEMENT,0.8,VALID_SETTLEMENT,True,,True
97715,,0,171,SETTLEMENT,0.95,VALID_SETTLEMENT,True,,True
97765,,0,85,SETTLEMENT,0.8,VALID_SETTLEMENT,True,,True
97785,,0,76,SETTLEMENT,0.8,VALID_SETTLEMENT,True,,True
97815,,0,181,SETTLEMENT,0.95,VALID_SETTLEMENT,True,,True
97895,,0,91,SETTLEMENT,0.8,VALID_SETTLEMENT,True,,True
97925,,0,99,SETTLEMENT,0.8,VALID_SETTLEMENT,True,,True
98007,,0,0,NO_DATA,0.0,NO_DATA,False,Postal code returned no address data,False
98995,,0,217,SETTLEMENT,0.95,VALID_SETTLEMENT,True,,True
99101,,0,130,POST_BOX,0.95,VALID_POST_BOX,True,,True
99131,,0,48,POST_BOX,0.95,VALID_POST_BOX,True,,True
99135,,0,74,SETTLEMENT,0.8,VALID_SETTLEMENT,True,,True
99195,,0,43,SETTLEMENT,0.8,VALID_SETTLEMENT,True,,True
99301,,0,38,POST_BOX,0.95,VALID_POST_BOX,True,,True
99555,,0,606,SETTLEMENT,0.95,VALID_SETTLEMENT,True,,True
99645,,0,126,SETTLEMENT,0.95,VALID_SETTLEMENT,True,,True
99655,,0,156,SETTLEMENT,0.95,VALID_SETTLEMENT,True,,True
99665,,0,43,SETTLEMENT,0.8,VALID_SETTLEMENT,True,,True
99871,,0,98,POST_BOX,0.95,VALID_POST_BOX,True,,True
